filename,width,height,class,xmin,ymin,xmax,ymax
10029170_3c1f6789036e3101beb356fede0e39c0.thumbnail.jpg,640,640,Tops,42,5,617,640
10100881_b44d94ad5e877ececc87fe0ba0f5356f.thumbnail.jpg,640,640,Pants_Leggings,134,2,486,632
10102464_ce79b4eab73a87572ef70968de76185b.thumbnail.jpg,640,640,Pants_Leggings,99,8,422,443
10102464_ce79b4eab73a87572ef70968de76185b.thumbnail.jpg,640,640,Pants_Leggings,141,450,475,633
10121390_a3aae496a7ec2804bcd3d051201cc206.thumbnail.jpg,480,640,Tops,57,142,400,565
10146005_05df5fd95cf51891c856bbf32aaf368f.thumbnail.jpg,640,640,Tops,98,10,562,622
10201206_06cb6c9819142c1d208f101bba5aa815.thumbnail.jpg,640,640,Tops,153,142,341,325
10222782_859ac88dc5f4a6d54487517ad8d5561e.thumbnail.jpg,640,640,Dresses,67,214,222,573
10222782_859ac88dc5f4a6d54487517ad8d5561e.thumbnail.jpg,640,640,Dresses,413,216,561,564
10225613_fdf7ed04e4816c68b405ca869941dc2a.thumbnail.jpg,640,640,Tops,96,35,545,405
10225613_fdf7ed04e4816c68b405ca869941dc2a.thumbnail.jpg,640,640,Tops,321,412,550,629
10226809_998827772870a2c7c6840960b40a43fb.thumbnail.jpg,640,640,Pants_Leggings,102,162,240,525
10226809_998827772870a2c7c6840960b40a43fb.thumbnail.jpg,640,640,Tops,92,10,221,164
10226809_998827772870a2c7c6840960b40a43fb.thumbnail.jpg,640,640,Tops,374,16,464,103
10226809_998827772870a2c7c6840960b40a43fb.thumbnail.jpg,640,640,Pants_Leggings,407,107,580,266
10226809_998827772870a2c7c6840960b40a43fb.thumbnail.jpg,640,640,Tops,432,338,517,420
10226809_998827772870a2c7c6840960b40a43fb.thumbnail.jpg,640,640,Pants_Leggings,434,412,516,589
10265807_6d2c363a54766a2ce0e134f0ca52730e.thumbnail.jpg,601,640,Pants_Leggings,209,106,425,592
10267168_2c1e1e1510664987d2c316fa7a3c593e.thumbnail.jpg,480,640,Tops,60,79,413,594
10268834_55e31c48956348cb61924ba06f7f47c2.thumbnail.jpg,640,640,Pants_Leggings,223,112,455,442
10288335_c2fd3896e0edcd4d2be9d1928ad5bf36.thumbnail.jpg,359,640,Tops,1,87,351,640
10375540_03e53898ddac9c0b1ef5302c0775c0c7.thumbnail.jpg,640,640,Pants_Leggings,187,8,422,474
10375540_fec601821691f40e690e2517df975427.thumbnail.jpg,640,640,Pants_Leggings,287,305,384,471
10577886_f038abff2ef2b9b71eb9cef78a4c3280.thumbnail.jpg,640,640,Pants_Leggings,67,46,466,640
10579132_7d902631594bffe5ba1ad051985cf4e4.thumbnail.jpg,640,640,Dresses,251,229,447,579
10623302_0aff7f3da3b227233dd13913579acdb6.thumbnail.jpg,640,571,Pants_Leggings,227,370,440,571
10642086_cfbe99cfb4a84ad13a80c9dc2918169f.thumbnail.jpg,640,640,Tops,157,2,384,467
10642086_cfbe99cfb4a84ad13a80c9dc2918169f.thumbnail.jpg,640,640,Pants_Leggings,208,461,322,638
10646154_0d8ef0bd81a72ff824af6744c99c8ccd.thumbnail.jpg,479,640,Tops,2,28,474,640
10690817_74d10caeba1095fcf8b02fc03c82b465.thumbnail.jpg,640,640,Lingerie,46,157,601,453
10722415_4d6d9561383e8309f456095426bc4e2c.thumbnail.jpg,566,566,Dresses,115,78,512,549
10727557_a77f02a1617ced3799807e66fe912e27.thumbnail.jpg,640,640,Dresses,140,114,554,640
10741083_aa8e7024db5a7e691fb23f6228766a06.thumbnail.jpg,640,640,Pants_Leggings,82,358,191,545
10741083_aa8e7024db5a7e691fb23f6228766a06.thumbnail.jpg,640,640,Pants_Leggings,442,348,552,546
10761406_655c995f648dff439b2ecb7112eb32a1.thumbnail.jpg,360,640,Pants_Leggings,28,225,88,383
10761406_655c995f648dff439b2ecb7112eb32a1.thumbnail.jpg,360,640,Pants_Leggings,156,231,219,395
10761406_655c995f648dff439b2ecb7112eb32a1.thumbnail.jpg,360,640,Pants_Leggings,267,232,336,377
10776530_3dfd48ae0c9d10e165536f49c665ec18.thumbnail.jpg,359,640,Tops,3,1,357,640
10776959_6d5d58d12f6710ec233d1cefb97de079.thumbnail.jpg,640,640,Tops,180,169,532,593
10778804_0c5eb4a79f6cad59f319b49d00326c67.thumbnail.jpg,640,640,Tops,65,246,322,485
10778804_0c5eb4a79f6cad59f319b49d00326c67.thumbnail.jpg,640,640,Shorts,30,458,202,570
10778804_0c5eb4a79f6cad59f319b49d00326c67.thumbnail.jpg,640,640,Tops,492,425,564,530
10778804_0c5eb4a79f6cad59f319b49d00326c67.thumbnail.jpg,640,640,Tops,480,149,547,251
10778804_0c5eb4a79f6cad59f319b49d00326c67.thumbnail.jpg,640,640,Shorts,466,255,524,312
10782676_41d14e1e72b8cb0b8a40834fd0c63f53.thumbnail.jpg,480,640,Tops,114,141,355,375
10782676_41d14e1e72b8cb0b8a40834fd0c63f53.thumbnail.jpg,480,640,Pants_Leggings,190,355,315,541
10785579_c78fd1ed3d8986a589e4c0edfb0420d7.thumbnail.jpg,640,640,Tops,194,69,416,369
10785579_c78fd1ed3d8986a589e4c0edfb0420d7.thumbnail.jpg,640,640,Skirts,226,322,388,587
10832349_5a8157359d1d2ac20a743a8a3a3aef09.thumbnail.jpg,640,640,Tops,52,18,568,625
10944459_79fd0a5869e89f8ee31c2127d268bce6.thumbnail.jpg,640,640,Tops,96,25,513,640
10983480_54895b1533b0045cfb3db5cfa21d1967.thumbnail.jpg,640,640,Tops,98,49,544,560
10983480_54895b1533b0045cfb3db5cfa21d1967.thumbnail.jpg,640,640,Pants_Leggings,71,454,336,640
11016570_11a48bef25cf06175a463c805fac53ca.thumbnail.jpg,640,640,Tops,96,182,179,298
