filename,width,height,class,xmin,ymin,xmax,ymax
34481576_8d167c1986dc1e7155e3cb201db5abec.thumbnail.jpg,640,640,Pants_Leggings,255,376,495,640
13517821_7a4f60b2c7072ff936c2df5d7414258c.thumbnail.jpg,640,291,Pants_Leggings,294,99,386,291
16819103_befbb59d88438169552e9dba1f29093d.thumbnail.jpg,640,640,Pants_Leggings,12,24,576,640
37202606_e45afa93962be726c1cdd916fbf7d925.thumbnail.jpg,640,640,Pants_Leggings,159,394,339,640
20369126_39a6d43149f27449dcee7a4d2ddac657.thumbnail.jpg,640,640,Pants_Leggings,221,53,386,502
46961776_064bd8fe3f9346cb170ddab4f8ba9a5c.thumbnail.jpg,640,640,Pants_Leggings,84,149,230,498
46961776_064bd8fe3f9346cb170ddab4f8ba9a5c.thumbnail.jpg,640,640,Pants_Leggings,442,114,573,506
38654585_6d321f3bc18d08de32cbc8cc325f08b1.thumbnail.jpg,640,640,Pants_Leggings,382,224,592,640
4145929_617d560eec323dedf4e13784e9848ccc.thumbnail.jpg,640,587,Pants_Leggings,212,427,401,587
20417491_dd328293a021b0f4861ccc09543c91ed.thumbnail.jpg,640,640,Pants_Leggings,282,247,386,511
14312298_2a616bec0b43229124c57335d65f305a.thumbnail.jpg,640,640,Pants_Leggings,212,447,468,591
21808681_1ef9810ab0b0995abc7a2e51496bb13d.thumbnail.jpg,640,640,Pants_Leggings,158,13,513,634
42762512_252b284a0ac8819aad4a23f6b3284058.thumbnail.jpg,640,640,Pants_Leggings,225,99,417,558
20537606_0ff26f1ccb06871ad3a2f2d3ad49cc1b.thumbnail.jpg,600,600,Pants_Leggings,122,241,255,482
31607796_a50ea4cfbec0ba444e9858402e97527c.thumbnail.jpg,578,578,Pants_Leggings,195,118,568,478
42691341_3524969f416cf5c75507be7424d10017.thumbnail.jpg,640,640,Pants_Leggings,107,68,252,468
42691341_3524969f416cf5c75507be7424d10017.thumbnail.jpg,640,640,Pants_Leggings,389,63,532,463
8987294_82c2d0a69bf6418a51d854965ee908f6.thumbnail.jpg,640,640,Pants_Leggings,83,213,258,359
8987294_82c2d0a69bf6418a51d854965ee908f6.thumbnail.jpg,640,640,Pants_Leggings,372,152,525,238
8987294_82c2d0a69bf6418a51d854965ee908f6.thumbnail.jpg,640,640,Pants_Leggings,22,549,231,637
