filename,width,height,class,xmin,ymin,xmax,ymax
10375540_fec601821691f40e690e2517df975427.thumbnail.jpg,640,640,Pants_Leggings,287,305,384,471
20777272_150dad817787cc94de6ffd6a8776d324.thumbnail.jpg,640,640,Pants_Leggings,228,353,417,578
11516518_47781ab5cbe424fff5cf0dc1dedefc7a.thumbnail.jpg,640,640,Dresses,115,236,481,589
15233756_f6814fa847c424ddc2724b44683a04f3.thumbnail.jpg,480,640,Pants_Leggings,1,158,480,637
46827323_4cf26c9f9d2f8286b15ddece6a9adbd7.thumbnail.jpg,640,640,Dresses,168,126,416,486
18887133_8b0c43ceaae58238fb511d00cf6916d6.thumbnail.jpg,640,640,Dresses,267,168,356,572
12767147_cb6e7660ff0780d21160893c568a67be.thumbnail.jpg,640,640,Dresses,307,30,491,638
10268834_55e31c48956348cb61924ba06f7f47c2.thumbnail.jpg,640,640,Pants_Leggings,223,112,455,442
47506481_93c73e4d0328f65b790884db0f0c3a85.thumbnail.jpg,640,640,Pants_Leggings,89,408,203,563
31245519_e77e5b214a16cc292883aaad9f8ab236.thumbnail.jpg,640,640,Dresses,66,151,238,584
31245519_e77e5b214a16cc292883aaad9f8ab236.thumbnail.jpg,640,640,Dresses,277,160,457,606
42072169_a5164fbbc076c126bced977a34289bcd.thumbnail.jpg,400,400,Pants_Leggings,78,98,352,400
41147571_529b53ceacf206a2de1ee103b44d1a91.thumbnail.jpg,640,640,Dresses,189,239,388,586
44551257_f7c7d492b2d115a7924f86ba5e2b293b.thumbnail.jpg,576,576,Dresses,232,61,361,218
44551257_f7c7d492b2d115a7924f86ba5e2b293b.thumbnail.jpg,576,576,Dresses,161,229,255,375
44551257_f7c7d492b2d115a7924f86ba5e2b293b.thumbnail.jpg,576,576,Dresses,334,464,391,573
14849227_b1c5379abbb79f8e8fdd9681b5149157.thumbnail.jpg,640,640,Pants_Leggings,208,118,424,491
39056501_856fc99f842447ab5ddd26131b47c415.thumbnail.jpg,640,640,Pants_Leggings,73,293,239,436
39056501_856fc99f842447ab5ddd26131b47c415.thumbnail.jpg,640,640,Pants_Leggings,388,434,537,579
3278860_8e12a6bc39c4332a2e7f1a7c827f0b49.thumbnail.jpg,517,517,Pants_Leggings,76,128,187,380
